origin,destination,date,price,airline,duration,segments,duration_min,departure_dt,arrival_dt,dep_date,dep_time,dep_minutes,arr_date,arr_time,arr_minutes,weekday
ZRH,CDG,2026-04-09,106,Condor,36300,1,605.0,2026-04-09 11:20:00,2026-04-09 21:25:00,2026-04-09,11:20:00,680,2026-04-09,21:25:00,1285,Thursday
ZRH,CDG,2026-04-09,106,Condor,16800,1,280.0,2026-04-09 16:45:00,2026-04-09 21:25:00,2026-04-09,16:45:00,1005,2026-04-09,21:25:00,1285,Thursday
ZRH,CDG,2026-04-09,113,Condor,16200,1,270.0,2026-04-09 11:20:00,2026-04-09 15:50:00,2026-04-09,11:20:00,680,2026-04-09,15:50:00,950,Thursday
ZRH,CDG,2026-04-09,113,Condor,28200,1,470.0,2026-04-09 08:00:00,2026-04-09 15:50:00,2026-04-09,08:00:00,480,2026-04-09,15:50:00,950,Thursday
ZRH,CDG,2026-04-09,141,KLM,14100,1,235.0,2026-04-09 07:00:00,2026-04-09 10:55:00,2026-04-09,07:00:00,420,2026-04-09,10:55:00,655,Thursday
ZRH,CDG,2026-04-09,141,KLM,18000,1,300.0,2026-04-09 07:00:00,2026-04-09 12:00:00,2026-04-09,07:00:00,420,2026-04-09,12:00:00,720,Thursday
ZRH,CDG,2026-04-10,164,Air France,4800,0,80.0,2026-04-10 19:30:00,2026-04-10 20:50:00,2026-04-10,19:30:00,1170,2026-04-10,20:50:00,1250,Friday
ZRH,CDG,2026-04-10,197,SWISS,4800,0,80.0,2026-04-10 17:30:00,2026-04-10 18:50:00,2026-04-10,17:30:00,1050,2026-04-10,18:50:00,1130,Friday
ZRH,CDG,2026-04-10,199,Air France,5100,0,85.0,2026-04-10 10:55:00,2026-04-10 12:20:00,2026-04-10,10:55:00,655,2026-04-10,12:20:00,740,Friday
ZRH,CDG,2026-04-10,199,Air France,4800,0,80.0,2026-04-10 14:50:00,2026-04-10 16:10:00,2026-04-10,14:50:00,890,2026-04-10,16:10:00,970,Friday
ZRH,CDG,2026-04-10,106,Condor,28200,1,470.0,2026-04-10 08:00:00,2026-04-10 15:50:00,2026-04-10,08:00:00,480,2026-04-10,15:50:00,950,Friday
ZRH,CDG,2026-04-10,122,KLM,17100,1,285.0,2026-04-10 14:20:00,2026-04-10 19:05:00,2026-04-10,14:20:00,860,2026-04-10,19:05:00,1145,Friday
ZRH,CDG,2026-04-10,122,KLM,20700,1,345.0,2026-04-10 14:20:00,2026-04-10 20:05:00,2026-04-10,14:20:00,860,2026-04-10,20:05:00,1205,Friday
